Country,ISO,Econ growth 2020,Econ growth 2021,Avg Econ Growth,Exports pct of GDP_2019,External debt pct GDP_2019,Corruption Index 100_2019,Int tourism pct GDP_2019
Palestine,PS,-11.32,7.05,-2.135,15.52,,,
Panama,PAN,-17.94,15.34,-1.3,41.21,,36,10.53
Papua New Guinea,PNG,-3.17,0.3,-1.435,,79.07,28,
Paraguay,PRY,-0.82,4.1,1.64,36.18,44.53,28,1.08
Peru,PER,-10.95,13.35,1.2,24.04,29.19,36,2.06
Philippines,PHL,-9.52,5.7,-1.91,28.38,20.17,34,3.04
Poland,POL,-2.02,6.85,2.415,53.2,,58,2.64
Portugal,PRT,-8.3,5.48,-1.41,43.51,,62,10.25
Puerto Rico,PRI,-4.35,0.21,-2.07,60.58,,,3.44
Qatar,QAT,-3.64,1.59,-1.025,52.35,,62,8.9
Republic of the Congo,COG,-6.24,-2.2,-4.22,73.79,53.44,19,
Romania,ROU,-3.68,5.1,0.71,40.2,,44,1.69
Russia,RUS,-2.66,4.75,1.045,28.43,29.63,28,1.02
Rwanda,RWA,-3.36,10.88,3.76,21.81,65.1,53,6.14
Saint Lucia,LCA,-24.36,12.23,-6.065,,32.19,55,
Saint Vincent and the Grenadines,VCT,-5.31,1.35,-1.98,,38.96,,28.02
Samoa,WSM,-3.11,-7.08,-5.095,35.03,50.06,,22.58
Sao Tome and Principe,STP,3.02,1.88,2.45,,59.08,46,
Saudi Arabia,SAU,-4.14,3.24,-0.45,35.57,,53,2.47
Senegal,SEN,1.33,6.06,3.695,24.99,84.44,45,
Serbia,SRB,-0.9,7.55,3.325,51.01,65.89,39,3.88
Seychelles,SYC,-7.69,7.86,0.085,103.35,,66,36.69
Sierra Leone,SLE,-1.97,4.1,1.065,18.25,46.11,33,
Singapore,SGP,-4.14,7.61,1.735,175.27,,85,
Slovakia,SVK,-3.37,3.01,-0.18,91.9,,50,3.17
Slovenia,SVN,-4.32,8.21,1.945,83.7,,60,6.17
Solomon Islands,SLB,-3.38,-0.2,-1.79,36.5,22.56,42,5.06
Somalia,SOM,2.49,4.05,3.27,17.44,87.27,9,
South Africa,ZAF,-6.34,4.91,-0.715,27.3,50.43,44,2.33
South Korea,KOR,-0.71,4.15,1.72,39.28,,59,1.54
Spain,ESP,-11.33,5.52,-2.905,34.91,,62,
Sri Lanka,LKA,-3.47,3.33,-0.07,21.82,68.91,38,5.24
Sudan,SDN,-3.63,-1.87,-2.75,0.63,74.09,16,
Suriname,SUR,-15.98,-2.73,-9.355,,,44,1.59
Swaziland,SWZ,-1.56,7.88,3.16,45.65,20.62,34,0.32
Sweden,SWE,-2.17,5.08,1.455,47.81,,85,
Switzerland,CHE,-2.38,4.22,0.92,66.97,,85,2.95
Tajikistan,TJK,4.4,9.2,6.8,14.98,68.91,25,2.16
Tanzania,TZA,2,4.28,3.14,16.01,39.05,37,4.29
Thailand,THA,-6.2,1.53,-2.335,59.51,34.32,36,11.83
Togo,TGO,1.75,5.26,3.505,23.06,27.79,29,3.66
Tonga,TON,0.49,-2.67,-1.09,21.97,33.71,,11.15
Trinidad and Tobago,TTO,-7.68,-1.03,-4.355,,,40,2.02
Tunisia,TUN,-8.62,4.32,-2.15,45.95,97.2,43,6.4
Turkey,TUR,1.94,11.35,6.645,32.53,59.42,39,5.45
Turkmenistan,TKM,1.52,2.99,2.255,,14.95,19,
Uganda,UGA,2.95,3.54,3.245,17.11,40.57,28,3.96
Ukraine,UKR,-3.75,3.4,-0.175,41.23,80.16,30,1.69
United Arab Emirates,ARE,-4.96,3.92,-0.52,96.66,,71,9.19
United Kingdom,GBR,-11.03,7.52,-1.755,31.26,,77,
Uruguay,URY,-6.12,4.37,-0.875,27.75,,71,3.81
USA,USA,-2.77,5.95,1.59,11.87,,69,1.12
Uzbekistan,UZB,1.89,7.42,4.655,28.42,36.95,25,2.8
Vanuatu,VUT,-5.4,0.45,-2.475,50.35,43.66,46,31.5
Vietnam,VNM,2.87,2.56,2.715,85.16,37.42,37,3.54
Zambia,ZMB,-2.79,4.6,0.905,34.64,118.99,34,
Zimbabwe,ZWE,-7.82,8.47,0.325,27.16,64.81,24,1.31
