,,,,,,,
,Gross Domestic Product,,,,,,
,"Gross Domestic Product, Real, Domestic Currency",,,,,,
,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,
,,,,,,,
,Country,2017,2018,2019,2020,2021,
,Malawi,"6,531,220.00","6,818,060.00","7,189,520.00","7,255,130.00","7,414,740.00",
,Malaysia,"1,300,769.02","1,363,766.40","1,423,951.96","1,345,144.26","1,386,738.31",
,Maldives,"66,701.13","72,119.35","77,083.82","51,260.82",...,
,Mali,"8,752,900.00","9,345,696.06","9,932,929.87","9,999,603.74","10,368,687.18",
,Malta,"10,168.39","10,798.17","11,554.99","10,559.82","11,806.50",
,"Marshall Islands, Rep. of the",193.05,201.15,222.95,218.85,221.29,
,"Mauritania, Islamic Rep. of","220,401.40","225,063.48",...,...,...,
,Mexico,"18,122,261.30","18,520,044.00","18,483,180.30","17,006,760.00","17,809,575.20",
,"Micronesia, Federated States of",250.60,251.10,...,...,...,
,"Moldova, Rep. of","159,969.75","166,489.47","172,403.70","158,135.61","180,186.97",
,Mongolia,"24,533,720.11","26,393,886.30","27,836,818.47","26,622,722.56","27,054,719.24",
,Montenegro,"3,686.47","3,873.67","4,031.05","3,414.02","3,859.33",
,Montserrat,165.84,176.84,189.29,179.26,193.62,
,Morocco,"1,149,595.00","1,184,116.00","1,229,791.00","1,150,728.00","1,243,802.00",
,Myanmar,"78,483,200.00","83,510,030.00","89,147,340.00","91,990,620.00","75,489,530.00",
,Namibia,"144,567.52","146,099.84","144,873.84","133,231.47","136,770.17",
,"Nauru, Rep. of",82.00,87.00,87.00,88.00,89.00,
,Nepal,"2,038,336.75","2,193,706.44","2,339,742.69","2,284,299.67","2,381,312.51",
,"Netherlands, The","697,735.40","714,208.34","728,175.31","699,877.81","733,914.40",
,New Zealand,"244,056.00","254,208.00","262,340.00","259,550.00","275,074.00",
,Nicaragua,"186,133.60","179,873.27","173,264.25","169,838.17","187,560.87",
,Niger,"6,356,672.09","6,815,038.58","7,219,946.94","7,476,271.59","7,579,976.86",
,Nigeria,"69,205,691.11","70,536,348.62","72,094,094.00","70,800,543.49","73,382,771.39",
,"North Macedonia, Republic of","513,025.10","527,803.67","548,442.57","522,730.01","543,280.11",
,Norway,"2,944,935.48","2,969,346.97","3,002,714.92","2,964,335.07","3,079,896.68",
,Oman,"34,736.88","35,184.03","34,786.87","33,611.18","34,650.53",
,Pakistan,"31,914,200.00","33,859,600.00","34,916,000.00","34,586,700.00","36,572,600.00",
,"Palau, Rep. of",278.00,278.00,279.00,254.00,220.00,
,Panama,"40,312.82","41,798.49","43,043.96","35,319.78","40,736.36",
,Papua New Guinea,"63,072.40","62,896.30","65,714.40","63,632.90","64,400.50",
,Paraguay,"202,722,981.63","209,218,733.46","208,377,977.31","206,669,725.10","214,971,105.07",
,Peru,"514,215.00","534,626.00","546,605.00","486,737.00","551,714.00",
,Philippines,"17,175,978.09","18,265,190.26","19,382,750.61","17,537,843.28","18,538,053.84",
,"Poland, Rep. of","1,810,423.38","1,918,056.83","2,003,411.06","1,962,939.82","2,097,357.25",
,Portugal,"181,836.08","187,017.18","192,034.40","176,094.56","185,784.61",
,Romania,"689,926.50","731,522.28","759,709.04","731,770.70","774,163.96",
,Russian Federation,"87,179,270.20","89,626,606.30","91,448,699.60","88,749,798.20",...,
,Rwanda,"7,694,000.00","8,354,000.00","9,145,000.00","8,838,000.00","9,799,000.00",
,Samoa,"2,088.88","2,150.19","2,210.61","1,988.00","1,942.67",
