,country,ISO,year,population,GDP,inflation,unemployment,GDP_change,ConfirmedCases,ConfirmedDeaths,CasesPer1k,DeathsPer1k,PopulationVaccinated,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,GDP per Capita
38,Aruba,ABW,2020,106585.0,2610038937.56355,,,-515980461.50136995,5489.0,49.0,51.53942216505009,0.4600895766236936,0.0,57.40378181818181,54.337745454545455,52.001709090909095,70.68181818181819,24487.863560196558
39,Aruba,ABW,2021,106537.0,3126019399.06492,,,,20461.0,181.0,191.99226813797245,1.6983823143039447,74.21,42.77775342465753,42.05035616438356,46.555945205479446,10.513698630136986,29342.10085758863
40,Australia,AUS,2018,24966643.0,1428288504767.07,1.91140094445692,5.30000019073486,36060640369.98999,,,,,,,,,,57207.87150948047
41,Australia,AUS,2019,25340217.0,1392227864397.08,1.61076787290379,5.15999984741211,65326805273.87012,,,,,,,,,,54941.43417939476
42,Australia,AUS,2020,25655289.0,1326901059123.21,0.846905537459293,6.46000003814697,-225766304112.8501,28425.0,909.0,1.1019183574830165,0.035238127949061,0.0,64.10329696969697,60.12904242424243,59.34202828282828,65.63636363636364,51720.37076344024
43,Australia,AUS,2021,25688079.0,1552667363236.06,2.86391042204995,5.11999988555908,,425496.0,2253.0,16.336167470672176,0.0864999560781403,95.0,56.72220395738204,60.67946118721461,62.12586605783866,50.55555555555556,60443.10916499673
44,Austria,AUT,2018,8840521.0,454991174096.102,1.99837981429546,4.92999982833862,10369997995.554016,,,,,,,,,,51466.5565633634
45,Austria,AUT,2019,8879920.0,444621176100.548,1.53089564152645,4.55999994277954,9395938100.110962,,,,,,,,,,50070.40334829007
46,Austria,AUT,2020,8916864.0,435225238000.437,1.38191063351859,5.19999980926514,-45143165892.927,356063.0,7486.0,39.94223759003361,0.8397603530807516,0.0,56.43090909090909,62.57669090909091,58.58694545454546,90.5,48809.22687622431
47,Austria,AUT,2021,8955797.0,480368403893.364,2.76666666666665,6.46000003814697,,1270811.0,16815.0,142.3125886646339,1.883038609514569,73.43,61.54786301369863,73.85038356164384,70.11542465753425,100.0,53637.705710989656
48,Azerbaijan,AZE,2018,9939771.0,47112941176.4706,2.26854690374005,4.94000005722046,-1061294117.6470032,,,,,,,,,,4739.8417102839285
49,Azerbaijan,AZE,2019,10024283.0,48174235294.1176,2.61057182799216,4.84999990463257,5481235294.1175995,,,,,,,,,,4805.753717659169
50,Azerbaijan,AZE,2020,10093121.0,42693000000.0,2.75980947008126,7.15999984741211,-11929176470.588203,218700.0,2641.0,21.24048718510031,0.2564980642700041,0.0,81.08214545454545,68.34,71.66665454545453,45.04545454545455,4229.910649045028
51,Azerbaijan,AZE,2021,10137750.0,54622176470.5882,6.65029912708779,5.94999980926514,,616947.0,8358.0,59.72606903842448,0.8091302575799086,45.15,65.46446575342465,60.81531506849315,67.80969863013699,11.849315068493151,5387.9979749538315
52,Bahamas,BHS,2018,401906.0,12755800000.0,2.26586346678726,10.0,-437000000.0,,,,,,,,,,31738.26715699691
53,Bahamas,BHS,2019,404557.0,13192800000.0,2.49123527368055,,3493300000.0,,,,,,,,,,32610.485049078376
54,Bahamas,BHS,2020,406471.0,9699500000.0,0.0385210980053727,,-1509100000.0,7871.0,170.0,19.33127683193996,0.4175221777956794,0.0,78.71883636363637,69.07949090909091,73.21872727272728,40.09090909090909,23862.710992912165
55,Bahamas,BHS,2021,407906.0,11208600000.0,2.90491262928479,,,24476.0,717.0,59.89521518572264,1.754570570688149,35.94,60.8008493150685,62.16605479452055,67.56268493150685,24.383561643835616,27478.389628983146
56,Bahrain,BHR,2018,1487340.0,37802005319.1489,2.08766938046983,,-851312765.9574966,,,,,,,,,,25415.846624947157
57,Bahrain,BHR,2019,1494188.0,38653318085.1064,1.00582004702132,,3929960638.2978973,,,,,,,,,,25869.112912904133
58,Bahrain,BHR,2020,1477469.0,34723357446.8085,-2.31770629331374,,-4145305585.1063995,92675.0,352.0,63.43670532991536,0.2409465365646637,0.0,65.70756363636363,68.79843636363637,66.12687272727273,87.5,23501.91946281682
59,Bahrain,BHR,2021,1463265.0,38868663031.9149,-0.606319385140896,,,282062.0,1394.0,192.4515531247399,0.9511294150076486,80.01,44.102,59.00980821917809,58.39416438356164,63.321917808219176,26562.96913540261
60,Bangladesh,BGD,2018,163683958.0,321379023557.462,5.5436213948647,,-29859450687.205017,,,,,,,,,,1963.411854675838
61,Bangladesh,BGD,2019,165516222.0,351238474244.667,5.59199639930633,,-22663660455.74298,,,,,,,,,,2122.078851247988
62,Bangladesh,BGD,2020,167420951.0,373902134700.41,5.6910747474621,,-42362808192.916016,513510.0,7559.0,3.0490768667581376,0.0448832000074482,0.0,80.98003636363637,64.40109090909091,66.09356363636364,52.54545454545455,2233.305523992693
63,Bangladesh,BGD,2021,169356251.0,416264942893.326,5.54565430773474,,,1585539.0,28072.0,9.31040164900979,0.1648408491314328,23.8,64.03383561643835,61.26134246575342,64.57449315068493,38.08219178082192,2457.9248798636077
64,Barbados,BRB,2018,279688.0,5097283200.0,3.67381410406798,8.31999969482422,-226966800.0,,,,,,,,,,18224.89059237436
65,Barbados,BRB,2019,280180.0,5324250000.0,4.10028964518463,8.40999984741211,652450000.0,,,,,,,,,,19002.96238132629
66,Barbados,BRB,2020,280693.0,4671800000.0,,,-172000000.0,383.0,7.0,1.3631882231927075,0.0249146672646186,0.0,54.29687272727273,54.05254545454546,54.83225454545455,48.59090909090909,16643.806578717675
67,Barbados,BRB,2021,281200.0,4843800000.0,,,,28565.0,260.0,101.49587833996588,0.923820352472996,51.01,64.18619178082191,63.90550684931507,66.31983561643835,47.02054794520548,17225.462304409673
68,Belarus,BLR,2018,9438785.0,60031262269.3365,4.87230220550689,4.76000022888184,-4378384924.4678955,,,,,,,,,,6360.06247301284
69,Belarus,BLR,2019,9419758.0,64409647193.8044,5.59815595039851,4.15999984741211,3038520779.6380997,,,,,,,,,,6837.717826063515
70,Belarus,BLR,2020,9379952.0,61371126414.1663,5.54814357456511,4.05000019073486,-6834254292.494598,194284.0,1424.0,20.22435581475213,0.148233939388766,0.0,32.61890909090909,34.37698181818182,39.2910909090909,0.0,6542.797491305531
71,Belarus,BLR,2021,9340314.0,68205380706.6609,9.46028389623105,3.90000009536743,,699110.0,5578.0,73.20601748835433,0.5840900080817618,33.86,34.249013698630144,37.23120547945205,42.1392602739726,2.8767123287671232,7302.2577941877435
72,Belgium,BEL,2018,11427054.0,543299066998.902,2.05316499865181,5.94999980926514,7468190253.804993,,,,,,,,,,47544.98114727575
73,Belgium,BEL,2019,11488980.0,535830876745.097,1.43681956996435,5.3600001335144,10619066092.489014,,,,,,,,,,46638.681305485516
74,Belgium,BEL,2020,11538604.0,525211810652.608,0.740791812220385,5.55000019073486,-68892366886.91705,646496.0,19528.0,55.81825842502607,1.6860412910890543,0.0,61.76112727272728,61.58163636363636,59.60636363636364,75.4090909090909,45517.79493018462
75,Belgium,BEL,2021,11592952.0,594104177539.525,2.44024851144081,6.26000022888184,,2105343.0,28331.0,180.860841536821,2.4337927366608083,75.77,50.11495890410959,62.79980821917808,61.05873972602739,75.0,51247.014353162594
76,Belize,BLZ,2018,382066.0,2315000000.0,0.269982622646432,,-101500000.0,,,,,,,,,,6059.162553066748
77,Belize,BLZ,2019,389095.0,2416500000.0,0.187069385181357,9.05000019073486,336500000.0,,,,,,,,,,6210.56554311929
