,country,ISO,year,population,GDP,inflation,unemployment,GDP_change,ConfirmedCases,ConfirmedDeaths,CasesPer1k,DeathsPer1k,PopulationVaccinated,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
283,Germany,DEU,2021,83196078.0,4259934911821.64,3.14296967309964,3.5699999332428,,7109182.0,111602.0,85.21461853218395,1.3377237855816313,70.96,61.776,62.15490410958904,65.67580821917808,37.5
292,Greece,GRC,2018,10732882.0,212049447242.111,0.625621413453588,19.1800003051758,6792432349.608978,,,,,,,,,
293,Greece,GRC,2019,10721582.0,205257014892.502,0.25300752203812,17.0400009155273,16331018955.695007,,,,,,,,,
294,Greece,GRC,2020,10698599.0,188925995936.807,-1.24798355581408,15.8999996185303,-25947883896.841003,138850.0,4838.0,13.247632552176208,0.4615919790236117,0.0,66.15894545454545,66.49945454545454,65.51916363636364,73.36363636363636
295,Greece,GRC,2021,10641221.0,214873879833.648,1.22382501019855,14.6599998474121,,1210853.0,20790.0,116.32066593836544,1.997192594690369,67.8,72.27019178082192,78.17342465753424,76.84038356164385,87.5
308,Guatemala,GTM,2018,16346950.0,73328024537.1848,3.75186186704512,2.27999997138977,-3842396630.328598,,,,,,,,,
309,Guatemala,GTM,2019,16604026.0,77170421167.5134,3.69998398008601,2.19000005722046,-455065810.7427063,,,,,,,,,
313,Guinea,GIN,2019,12877539.0,13442861443.7506,9.47077937313535,5.01999998092651,-734974372.5270996,,,,,,,,,
316,Guinea-Bissau,GNB,2018,1924955.0,1504630120.99275,0.381324702791038,3.20000004768372,64991677.611419916,,,,,,,,,
320,Guyana,GUY,2018,785514.0,4787636237.24043,1.28284288443518,14.0200004577637,-386123954.60609055,,,,,,,,,
321,Guyana,GUY,2019,798753.0,5173760191.84652,2.0872308916202,13.5200004577637,-297496402.87769985,,,,,,,,,
328,Honduras,HND,2018,9792850.0,24067778953.842,4.34734937777536,5.61999988555908,-1022197992.9316025,,,,,,,,,
329,Honduras,HND,2019,9958829.0,25089976946.7736,4.36587159819272,5.55000019073486,1262136137.0722008,,,,,,,,,
330,Honduras,HND,2020,10121763.0,23827840809.7014,3.46841177951168,10.6800003051758,-4660827491.938698,121827.0,3130.0,11.941791083399922,0.3068105271494968,0.0,88.99658181818182,74.5176,73.42312727272727,82.18181818181819
332,"Hong Kong, SAR China",HKG,2018,7452600.0,361731070995.726,2.40613432046539,2.80999994277954,-1321418188.6690063,,,,,,,,,
333,"Hong Kong, SAR China",HKG,2019,7507900.0,363052489184.395,2.8832085377399,2.92000007629395,18120297156.343994,,,,,,,,,
334,"Hong Kong, SAR China",HKG,2020,7481000.0,344932192028.051,0.250962021080809,5.80999994277954,-24244208939.375977,,,,,,,,,
335,"Hong Kong, SAR China",HKG,2021,7413100.0,369176400967.427,1.56875834445927,5.17000007629395,,,,,,,,,,
336,Hungary,HUN,2018,9775564.0,160564628963.713,2.85024792594642,3.71000003814697,-3423965958.1889954,,,,,,,,,
337,Hungary,HUN,2019,9771141.0,163988594921.902,3.3385863538201,3.42000007629395,6806549661.671997,,,,,,,,,
338,Hungary,HUN,2020,9750149.0,157182045260.23,3.3267438576673,4.25,-24665976973.660004,322514.0,9537.0,33.14286007897421,0.9800611960199466,0.0,57.3016,53.911781818181815,53.10898181818182,59.54545454545455
339,Hungary,HUN,2021,9709891.0,181848022233.89,5.11096534382858,4.05000019073486,,1256415.0,39186.0,129.68043608603023,4.044569324997855,60.01,48.19843835616438,53.6992602739726,55.7491506849315,39.34931506849315
340,Iceland,ISL,2018,352721.0,26264127686.6137,2.68291768267388,2.70000004768372,1438025566.9780006,,,,,,,,,
341,Iceland,ISL,2019,360563.0,24826102119.6357,3.01397179156056,3.50999999046326,3131427309.703602,,,,,,,,,
342,Iceland,ISL,2020,366463.0,21694674809.9321,2.84792401518658,6.42999982833862,-3907744400.4053,5754.0,29.0,15.593580453010588,0.0785912118764871,0.0,46.23465454545455,54.60385454545455,48.62563636363636,96.45454545454544
