,Country,CountryCode,Year,Population,ConfirmedCases,ConfirmedDeaths,CasesPer1k,DeathsPer1k,PopulationVaccinated,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
24,Austria,AUT,2020,8914.448,356063.0,7486.0,39.94223759003361,0.8397603530807516,0.0,56.43090909090909,62.57669090909091,58.58694545454546,90.5
25,Austria,AUT,2021,8929.716,1270811.0,16815.0,142.3125886646339,1.883038609514569,73.43,61.54786301369863,73.85038356164384,70.11542465753425,100.0
26,Austria,AUT,2022,8949.518,5705093.0,21443.0,637.4748897091441,2.3959949574938,76.32,38.63156164383562,62.35638356164384,56.97427397260274,100.0
27,Azerbaijan,AZE,2020,10296.374,218700.0,2641.0,21.24048718510031,0.25649806427000416,0.0,81.08214545454545,68.34,71.66665454545453,45.04545454545455
28,Azerbaijan,AZE,2021,10329.61,616947.0,8358.0,59.726069038424484,0.8091302575799086,45.15,65.46446575342465,60.81531506849315,67.80969863013699,11.849315068493151
29,Azerbaijan,AZE,2022,10386.538,826401.0,10008.0,79.56462490196445,0.9635549400579866,46.94,48.69090410958904,45.35767123287671,50.42947945205479,9.863013698630137
30,Bahamas,BHS,2020,407.164,7871.0,170.0,19.331276831939956,0.4175221777956794,0.0,78.71883636363637,69.07949090909091,73.21872727272728,40.09090909090909
31,Bahamas,BHS,2021,408.647,24476.0,717.0,59.89521518572264,1.754570570688149,35.94,60.8008493150685,62.16605479452055,67.56268493150685,24.383561643835616
32,Bahamas,BHS,2022,411.321,37491.0,833.0,91.14778968251073,2.0251822785610263,40.4,41.8607397260274,44.78394520547945,51.18008219178082,0.0
33,Bahrain,BHR,2020,1460.905,92675.0,352.0,63.43670532991536,0.2409465365646637,0.0,65.70756363636363,68.79843636363637,66.12687272727273,87.5
34,Bahrain,BHR,2021,1465.626,282062.0,1394.0,192.4515531247399,0.9511294150076486,80.01,44.102,59.00980821917809,58.39416438356164,63.321917808219176
35,Bahrain,BHR,2022,1478.84,698737.0,1539.0,472.48992453544673,1.0406805333910363,83.33,16.47317808219178,32.07827397260274,36.65832876712329,0.0
36,Bangladesh,BGD,2020,168414.908,513510.0,7559.0,3.0490768667581376,0.044883200007448276,0.0,80.98003636363637,64.40109090909091,66.09356363636364,52.54545454545455
37,Bangladesh,BGD,2021,170297.594,1585539.0,28072.0,9.31040164900979,0.16484084913143282,23.8,64.03383561643835,61.26134246575342,64.57449315068493,38.082191780821915
38,Bangladesh,BGD,2022,172075.151,2037125.0,29440.0,11.838577436436479,0.17108803815607285,73.41,19.83068493150685,34.123260273972605,38.939315068493144,0.410958904109589
39,Barbados,BRB,2020,280.959,383.0,7.0,1.3631882231927077,0.02491466726461868,0.0,54.29687272727273,54.05254545454546,54.832254545454546,48.59090909090909
40,Barbados,BRB,2021,281.44,28565.0,260.0,101.49587833996588,0.923820352472996,51.01,64.18619178082191,63.90550684931507,66.31983561643835,47.02054794520548
