,country,ISO,region,north_south,year,population,GDP,inflation,unemployment,GDP Per Capita
93,El Salvador,SLV,South/Latin America,Global South,2020,6292731,24563020000.0,-0.371590212323993,5.01000022888184,3903.3958387860534
94,El Salvador,SLV,South/Latin America,Global South,2019,6280217,26881140000.0,0.0753241350024327,4.17000007629395,4280.288404047185
95,El Salvador,SLV,South/Latin America,Global South,2018,6276342,26020850000.0,1.09033000581896,4.01000022888184,4145.862351031859
96,Estonia,EST,Europe,Global North,2021,1330932,37191166151.98,4.65316673847481,6.17999982833862,27943.70121988201
97,Estonia,EST,Europe,Global North,2020,1329522,31370395572.7658,-0.444531097679859,6.80000019073486,23595.243683644047
98,Estonia,EST,Europe,Global North,2019,1326898,31081901909.2156,2.27725931243518,4.44999980926514,23424.484707351734
99,Estonia,EST,Europe,Global North,2018,1321977,30624720196.229,3.43632688420445,5.36999988555908,23165.84947864373
100,Finland,FIN,Europe,Global North,2021,5541017,297301883523.251,2.19457432339993,7.6100001335144,53654.750296425904
101,Finland,FIN,Europe,Global North,2020,5529543,271891788362.647,0.290554555653313,7.76000022888184,49170.752151244145
102,Finland,FIN,Europe,Global North,2019,5521606,268514916972.549,1.02409392963429,6.69000005722046,48629.858228303325
103,Finland,FIN,Europe,Global North,2018,5515525,275708001767.843,1.08382098409299,7.3600001335144,49987.626158496794
104,France,FRA,Europe,Global North,2021,67749632,2957879759263.52,1.64233141038392,7.8600001335144,43658.97897812227
105,France,FRA,Europe,Global North,2020,67571107,2639008701648.26,0.476498852725083,8.01000022888184,39055.28292807545
106,France,FRA,Europe,Global North,2019,67388001,2728870246705.88,1.10825492288292,8.40999984741211,40494.89829362767
107,France,FRA,Europe,Global North,2018,67158348,2790956878746.66,1.85081508315494,9.02000045776367,41557.854858887535
108,Germany,DEU,Europe,Global North,2021,83196078,4259934911821.64,3.14296967309964,3.5699999332428,51203.55447310437
109,Germany,DEU,Europe,Global North,2020,83160871,3889668895299.62,0.506689889953274,3.85999989509583,46772.82535075444
110,Germany,DEU,Europe,Global North,2019,83092962,3888226035921.56,1.4456670146976,3.14000010490417,46793.68676160034
111,Germany,DEU,Europe,Global North,2018,82905782,3974443355019.6,1.73216766075662,3.38000011444092,47939.278288450376
112,Greece,GRC,Europe,Global North,2021,10641221,214873879833.648,1.22382501019855,14.6599998474121,20192.596303906103
113,Greece,GRC,Europe,Global North,2020,10698599,188925995936.807,-1.24798355581408,15.8999996185303,17658.947301119242
114,Greece,GRC,Europe,Global North,2019,10721582,205257014892.502,0.25300752203812,17.0400009155273,19144.284387556054
115,Greece,GRC,Europe,Global North,2018,10732882,212049447242.111,0.625621413453588,19.1800003051758,19756.990456254993
116,Hungary,HUN,Europe,Global North,2021,9709891,181848022233.89,5.11096534382858,4.05000019073486,18728.12189486885
117,Hungary,HUN,Europe,Global North,2020,9750149,157182045260.23,3.3267438576673,4.25,16120.98904952427
118,Hungary,HUN,Europe,Global North,2019,9771141,163988594921.902,3.3385863538201,3.42000007629395,16782.952463985734
119,Hungary,HUN,Europe,Global North,2018,9775564,160564628963.713,2.85024792594642,3.71000003814697,16425.10129990587
120,Iceland,ISL,Europe,Global North,2021,372520,25602419210.3374,4.44423970189747,5.98999977111816,68727.636664709
121,Iceland,ISL,Europe,Global North,2020,366463,21694674809.9321,2.84792401518658,6.42999982833862,59200.17794410922
122,Iceland,ISL,Europe,Global North,2019,360563,24826102119.6357,3.01397179156056,3.50999999046326,68853.7152165799
123,Iceland,ISL,Europe,Global North,2018,352721,26264127686.6137,2.68291768267388,2.70000004768372,74461.479998678
124,Indonesia,IDN,Asia & Pacific,Global South,2021,273753191,1186092991320.04,1.56012990525685,3.82999992370605,4332.7092808939715
125,Indonesia,IDN,Asia & Pacific,Global South,2020,271857970,1058688935454.78,1.92096800566845,4.25,3894.2722019692123
126,Indonesia,IDN,Asia & Pacific,Global South,2019,269582878,1119099868265.25,3.03058664969491,3.58999991416931,4151.227542964542
127,Indonesia,IDN,Asia & Pacific,Global South,2018,267066843,1042271531011.99,3.19834641562404,4.3899998664856,3902.661668157698
128,Ireland,IRL,Europe,Global North,2021,5033165,504182603275.542,2.35814296241712,6.19000005722046,100172.07925342047
129,Ireland,IRL,Europe,Global North,2020,4985382,425852281928.121,-0.334584625428444,5.61999988555908,85420.19085560966
130,Ireland,IRL,Europe,Global North,2019,4934340,399321701632.431,0.939044481054341,4.94999980926514,80927.07467106666
131,Ireland,IRL,Europe,Global North,2018,4867316,385736680797.118,0.488370168032449,5.73999977111816,79250.3878517684
132,Israel,ISR,Middle east,Global North,2021,9364000,488526545878.891,1.49228845352231,4.96000003814697,52170.71186233351
133,Israel,ISR,Middle east,Global North,2020,9215100,413267669231.522,-0.588430300016595,4.32999992370605,44846.79159548155
134,Israel,ISR,Middle east,Global North,2019,9054000,402470513619.148,0.844128708733833,3.79999995231628,44452.232562309255
135,Israel,ISR,Middle east,Global North,2018,8882800,376691526553.276,0.817323896191417,4.0,42406.8454263606
136,Italy,ITA,Europe,Global North,2021,59109668,2107702842669.73,1.87378325762491,9.5,35657.497563169025
137,Italy,ITA,Europe,Global North,2020,59438851,1896755301518.14,-0.13770757391657,9.15999984741211,31911.035789001708
138,Italy,ITA,Europe,Global North,2019,59729081,2011302198827.45,0.611246943765291,9.94999980926514,33673.75096274209
139,Italy,ITA,Europe,Global North,2018,60421760,2091932426266.98,1.13748763600395,10.6099996566772,34622.16966647413
140,Jamaica,JAM,South/Latin America,Global South,2021,2827695,14657586937.0735,5.86278242801063,8.35000038146973,5183.581304586774
141,Jamaica,JAM,South/Latin America,Global South,2020,2820436,13812425036.5864,5.22677779293517,6.5,4897.265896686327
142,Jamaica,JAM,South/Latin America,Global South,2019,2813773,15830768549.8916,3.90510000865876,4.98999977111816,5626.171176527601
143,Jamaica,JAM,South/Latin America,Global South,2018,2811835,15730793852.7913,3.7366388215216,5.46999979019165,5594.493934669459
144,Japan,JPN,Asia & Pacific,Global North,2021,125681593,4940877780755.33,-0.233352779398279,2.79999995231628,39312.660373069346
145,Japan,JPN,Asia & Pacific,Global North,2020,126261000,5040107754084.11,-0.0249958340276592,2.79999995231628,39918.16755834431
146,Japan,JPN,Asia & Pacific,Global North,2019,126633000,5123318151510.62,0.468776159383912,2.34999990463257,40458.001875582355
147,Japan,JPN,Asia & Pacific,Global North,2018,126811000,5037835383110.97,0.989094598021806,2.47000002861023,39727.11659959285
148,Jordan,JOR,Middle east,Global South,2021,11148278,45744271658.9141,1.34609377243118,19.8400001525879,4103.258965995834
149,Jordan,JOR,Middle east,Global South,2020,10928721,44182298291.8206,0.33329435062843,19.2099990844727,4042.769349846208
150,Jordan,JOR,Middle east,Global South,2019,10698683,44993992365.1297,0.761514047265513,16.7999992370605,4205.563653501062
151,Jordan,JOR,Middle east,Global South,2018,10459865,43370860549.1337,4.46231108475485,18.2600002288818,4146.40729580484
152,Korea (South),KOR,Asia & Pacific,Global North,2021,51744876,1810955871380.98,2.49833333333334,3.64000010490417,34997.78164278488
153,Korea (South),KOR,Asia & Pacific,Global North,2020,51836239,1644312831906.17,0.537288023411772,3.9300000667572,31721.29891418569
154,Korea (South),KOR,Asia & Pacific,Global North,2019,51764822,1651422932447.77,0.383000303608079,3.75,31902.416904819456
155,Korea (South),KOR,Asia & Pacific,Global North,2018,51585058,1724845615629.26,1.47583935002643,3.8199999332428,33436.923064606424
156,Kyrgyzstan,KGZ,Asia & Pacific,Global South,2021,6691800,8543423502.6134,11.9050398185147,4.09999990463257,1276.7003650159002
157,Kyrgyzstan,KGZ,Asia & Pacific,Global South,2020,6579900,7780874536.66054,6.32542296338083,4.63000011444092,1182.5217004301796
158,Kyrgyzstan,KGZ,Asia & Pacific,Global South,2019,6456200,8871026074.19762,1.13362257718798,4.25,1374.0321046742079
159,Kyrgyzstan,KGZ,Asia & Pacific,Global South,2018,6322800,8271108638.39931,1.54266145238431,3.67000007629395,1308.14016549619
160,Latvia,LVA,Europe,Global North,2021,1884490,39853501579.8211,3.27582937431157,7.51000022888184,21148.162940541526
161,Latvia,LVA,Europe,Global North,2020,1900449,34601740323.3386,0.219064904842049,8.10000038146973,18207.13964086308
162,Latvia,LVA,Europe,Global North,2019,1913822,34343961072.8235,2.81140920075622,6.30999994277954,17945.222216498452
163,Latvia,LVA,Europe,Global North,2018,1927174,34429023435.0211,2.53445424186602,7.40999984741211,17865.0310947642
164,Lithuania,LTU,Europe,Global North,2021,2800839,66445256585.3671,4.68354420903459,7.1100001335144,23723.34025103446
165,Lithuania,LTU,Europe,Global North,2020,2794885,56846622904.4391,1.19989444983569,8.48999977111816,20339.52126990524
166,Lithuania,LTU,Europe,Global North,2019,2794137,54751510087.7803,2.33450937988024,6.26000022888184,19595.141572435532
167,Lithuania,LTU,Europe,Global North,2018,2801543,53751411409.4447,2.69792779208397,6.15000009536743,19186.359591641
168,Luxembourg,LUX,Europe,Global North,2021,640064,85506243833.7816,2.52692009066169,5.25,133590.1469755862
169,Luxembourg,LUX,Europe,Global North,2020,630419,73992591285.3029,0.819957302126994,6.76999998092651,117370.49690016148
170,Luxembourg,LUX,Europe,Global North,2019,620001,69825641851.0117,1.74332075653843,5.59000015258789,112621.82133740382
171,Luxembourg,LUX,Europe,Global North,2018,607950,71000359760.4611,1.52819524307373,5.59000015258789,116786.51165467736
172,"Macedonia, Republic of",MKD,Europe,Global North,2021,2065092,13825049831.7959,3.23074912132919,15.7799997329712,6694.6411258171065
173,"Macedonia, Republic of",MKD,Europe,Global North,2020,2072531,12363580534.6811,1.20007348888482,16.5499992370605,5965.450231953636
174,"Macedonia, Republic of",MKD,Europe,Global North,2019,2076694,12606338448.547,0.766439573459688,17.3899993896484,6070.388053582762
