country,date,Fiscal Balance,GDP per capita,GDP,Unemployment Rate,Inflation,Population,CPI,bot,inflation,interest,liquidity,debt
Austria,2018,,46154.6250956541,82842.5,7.89999855389028,1.8,8840521.0,103.591367386051,"13,271.15",,,,
Austria,2018,,46154.6250956541,82842.5,7.89999855389028,1.8,8840521.0,103.591367386051,,116.28,,"11,653.25",54.91
Austria,2019,,46647.0809634335,84829.6,7.47700656451613,1.8,8879920.0,105.491209065911,"15,746.44",118.06,,"9,906.35",52.52
Austria,2020,,43455.7000665738,82395.0,6.92586399928317,2.0,8916864.0,107.591034080493,"12,997.59",119.69,,"13,415.88",62.74
Austria,2021,,45238.3907144733,78837.6,9.26020796173901,0.8,8955797,108.456087620839,"2,507.55",123,,"17,572.46",62.9
Azerbaijan,2018,5.53361486,5262.18380792188,47.10656017,12.7170000076294,2.33422527,9939771,,"7,779.27",,,,
Azerbaijan,2018,5.53361486,5262.18380792188,47.10656017,12.7170000076294,2.33422527,9939771,,,152.9,17.45,"6,665.91",
Azerbaijan,2018,5.53361486,5262.18380792188,47.10656017,12.7170000076294,2.33422527,9939771,,,,,,18.69
Azerbaijan,2019,9.10873103,5348.26526707105,47.19558588,12.4060001373291,2.71230057,10024283.0,,"5,917.28",156.89,17.28,"7,042.90",
Azerbaijan,2019,9.10873103,5348.26526707105,47.19558588,12.4060001373291,2.71230057,10024283.0,,,,,,17.66
Azerbaijan,2020,-6.52257986,5083.3816401988,55.66324885,17.4039993286133,2.8242865,10093121,,-329.07,161.22,17.18,"7,633.63",
Azerbaijan,2020,-6.52257986,5083.3816401988,55.66324885,17.4039993286133,2.8242865,10093121,,,,,,21.33
Azerbaijan,2021,4.33363671,5344.42134817085,43.7297925,14.2799997329712,6.65936961,10137750,,"9,150.72",171.94,16.43,"8,307.16",
Azerbaijan,2021,4.33363671,5344.42134817085,43.7297925,14.2799997329712,6.65936961,10137750,,,,,,26.45
Burundi,2018,,-1.34959593117703,-1.34959593117703,1.68799996376038,-2.8146980766847,11493472,-2.8146980766847,-620.19,,,,
