,country,ISO,region,north_south,year,population,GDP,inflation,unemployment,GDP Per Capita
81,Benin,BEN,Africa,Global South,2020,12643123,15651545208.8783,3.02272119663756,,1237.9492953503893
82,Benin,BEN,Africa,Global South,2019,12290444,14391686309.033,-0.70502663454275,,1170.965532980989
83,Benin,BEN,Africa,Global South,2018,11940683,14262408079.7014,0.644803622440778,1.47000002861023,1194.438214271445
84,Bermuda,BMU,South/Latin America,Global South,2021,63867,7286607000.0,,,114090.3283385786
85,Bermuda,BMU,South/Latin America,Global South,2020,63893,6887147000.0,,,107791.88643513374
86,Bermuda,BMU,South/Latin America,Global South,2019,63911,7423465000.0,,,116153.1661216379
87,Bermuda,BMU,South/Latin America,Global South,2018,63918,7225977000.0,,,113050.7368816296
88,Bhutan,BTN,Asia & Pacific,Global South,2021,777486,2539552984.67797,7.34683859830958,4.80000019073486,3266.3649051918233
89,Bhutan,BTN,Asia & Pacific,Global South,2020,772506,2325184481.4277,5.62999177986902,5.03000020980835,3009.9241707219103
90,Bhutan,BTN,Asia & Pacific,Global South,2019,767459,2535657069.05537,2.72582104307304,2.72000002861023,3303.964210538113
91,Bhutan,BTN,Asia & Pacific,Global South,2018,762096,2446866404.93058,2.72396386183716,3.34999990463257,3210.7062691978176
92,Bolivia,BOL,South/Latin America,Global South,2021,12079472,40408208528.1599,0.737383721452315,5.09000015258789,3345.196588738307
93,Bolivia,BOL,South/Latin America,Global South,2020,11936162,36629843805.0216,0.940742153381823,7.90000009536743,3068.812555076045
94,Bolivia,BOL,South/Latin America,Global South,2019,11777315,40895322843.7851,1.83954504969032,3.6800000667572,3472.3808307568493
95,Bolivia,BOL,South/Latin America,Global South,2018,11606905,40287647930.4761,2.27205987230148,3.51999998092651,3471.006950644991
96,Bosnia and Herzegovina,BIH,Europe,Global North,2021,3270943,23365361635.2201,1.98163900587616,14.8999996185303,7143.310548432089
97,Bosnia and Herzegovina,BIH,Europe,Global North,2020,3318407,19950471170.6465,-1.05129600763481,15.8699998855591,6012.062767058562
98,Bosnia and Herzegovina,BIH,Europe,Global North,2019,3360711,20202479537.5193,0.562782154061303,15.6899995803833,6011.370670527545
