country,date,Unemployment Rate,Population,Fiscal Balance,GDP per capita,GDP,Inflation,bot,interest,liquidity,debt,CPI,inflation
Aruba,2019,0,106442,0,31762.73403,3368970253,4.257462043,321.66,5.7,830,0,4.257462043,109.53
Aruba,2020,0,106585,0,25823.63482,2610038938,0,-200.49,6.8,"1,023.47",0,0,...
Aruba,2021,0,106537,0,30271.83347,3126019399,0,253.59,...,"1,330.95",0,0,...
Australia,2017,0,0,0,0,0,0,"7,240.69",5.25,"62,617.32",32.37,0,115.69
Australia,2018,11.028325,2.49666E+15,-2.52,116962.0688,973902,1.911400944456921.91140094445692,"15,601.72",5.26,"51,077.09",32.92,209.1478988,117.9
Australia,2019,5.0584297,25340217,-4.403,58870.02169,496140,1.610767873,"47,467.24",5.1,"55,603.58",36.54,105.9670304,119.8
Australia,2020,5.2746139,25655289,-8.758,58117.45203,504144,0.846905537,"50,453.09",...,"39,152.00",43.73,108.2888321,120.81
Australia,2021,6.3422501,25688079,-6.454,59341.23774,511583,2.863910422,"90,807.78",...,"53,789.56",43.95,109.496169,124.27
Austria,2017,0,0,0,0,0,0,"12,470.32",0,"9,894.24",57.19,0,114
Austria,2018,15.79999711,8840521.08840521.0,0,92309.25019,165685,1.81.8,"13,271.15",0,"11,653.25",54.91,207.1827348,116.28
Austria,2019,7.477006565,8879920,0,46647.08096,84829.6,1.8,"15,746.44",0,"9,906.35",52.52,105.4912091,118.06
Austria,2020,6.925863999,8916864,0,43455.70007,82395,2,"12,997.59",0,"13,415.88",62.74,107.5910341,119.69
Austria,2021,9.260207962,8955797,0,45238.39071,78837.6,0.8,"2,507.55",0,"17,572.46",62.9,108.4560876,123
Azerbaijan,2017,0,0,0,0,0,0,"2,735.43",16.54,"6,680.45",22.51,0,149.51
Azerbaijan,2018,38.15100002,9.93977E+20,5.533614865.533614865.53361486,15786.55142,141.3196805,2.334225272.334225272.33422527,"7,779.27",17.45,"6,665.91",18.69,0,152.9
Azerbaijan,2019,24.81200027,10024283.010024283.0,9.108731039.10873103,10696.53053,94.39117176,2.712300572.71230057,"5,917.28",17.28,"7,042.90",17.66,0,156.89
Azerbaijan,2020,34.80799866,1.00931E+15,-13.04515972,10166.76328,111.3264977,2.82428652.8242865,-329.07,17.18,"7,633.63",21.33,0,161.22
Azerbaijan,2021,28.55999947,1.01378E+15,4.333636714.33363671,10688.8427,87.459585,6.659369616.65936961,"9,150.72",16.43,"8,307.16",26.45,0,171.94
Bahamas,2017,0,0,0,0,0,0,"-1,158.78",4.25,"1,413.97",53.81,0,110.88
Bahamas,2018,48.5,0,0,61411.20395,25511600000,2.265863466787262.26586346678726,-364.42,4.25,"1,345.34",60.94,0,113.39
Bahamas,2019,24.43400002,0,0,31082.8061,13192800000,2.491235274,324.22,4.25,"1,757.78",59.67,0,116.22
Bahamas,2020,29.89800072,0,0,23566.57533,9699500000,0.038521098,"-1,760.45",4.25,"2,382.08",87.46,0,116.26
Bahamas,2021,27.20999908,0,0,26705.56601,11208600000,2.904912629,"-1,722.27",4.25,"2,432.72",90.71,0,119.64
Bahrain,2017,0,0,0,0,0,0,"2,855.85",0,"2,628.65",88.13,0,115.18
Bahrain,2018,17.60100031,1.48734E+20,0,76247.53987,1.13406E+11,2.087669380469832.087669380469832.08766938046983,"2,910.37",0,"2,142.03",94.61,6.263008141,117.59
Bahrain,2019,11.98200035,1.49419E+13,0,51738.22583,77306636170,1.005820047021321.00582004702132,...,0,"3,674.20",101.64,2.011640094,118.77
Bahrain,2020,15.54800034,1.47747E+13,0,47003.83893,69446714894,-4.635412587,...,0,"2,239.41",129.73,-4.635412587,116.02
Bahrain,2021,14.30000019,1.46327E+13,0,53125.93827,77737326064,-1.21263877,...,0,"4,720.18",128.5,-1.21263877,115.32
Bangladesh,2017,0,0,0,0,0,0,"-17,594.49",9.54,"32,849.19",28.57,0,161.23
Bangladesh,2018,24.58600044,73.912200927734473.9122009277344,0,2920.610034,1416766,5.54362139486475.5436213948647,"-21,457.17",9.65,"31,452.74",29.6,11.08355426,170.16
Bangladesh,2019,12.36600018,74.6844635,0,1557.965291,766135.3125,5.591996399,"-19,272.61",9.56,"32,012.89",31.66,5.518191395,179.68
Bangladesh,2020,14.38300037,74.9088974,0,1593.348321,0,5.691074747,"-18,300.38",8.3,"42,322.36",34.18,6.020580556,189.91
Bangladesh,2021,13.77200031,0,0,1684.43439,0,5.545654308,"-36,008.21",7.32,"45,348.05",35.55,5.642474287,200.44
Barbados,2017,0,0,0,0,0,0,15.07,8.05,265.84,159.13,0,124.25
Barbados,2018,48.09199905,2.79688E+11,0,34441.862,-7.92,3.673814104067983.67381410406798,...,8.05,533.91,127.28,0,128.81
Barbados,2019,25.51600075,280180,0,17168.14569,-3.05,4.100289645,...,8.05,772.12,119.61,0,134.09
Barbados,2020,29.56200027,280693,0,14855.68986,-6.902,0,...,8.05,"1,358.01",142.04,0,...
Barbados,2021,27.62000084,281200,0,14800.83815,-11.463,0,...,8.05,"1,672.88",141.88,0,...
Belarus,2017,0,0,0,0,0,0,100.1,9.66,"5,375.41",47.21,0,459.03
Belarus,2018,31.98300076,9.43879E+20,0,18497.72799,18497.72799,4.872302205506894.872302205506894.87230220550689,929.1,8.7,"5,222.91",42.51,0,481.39
Belarus,2019,20.42399979,9.41976E+13,0,12529.72193,12529.72193,5.598155950398515.59815595039851,-403,9.02,"7,006.67",37.6,0,508.34
Belarus,2020,24.06200027,9.37995E+13,0,12494.86382,12494.86382,5.548143574565115.54814357456511,"1,947.60",9.03,"4,426.89",44.12,0,536.54
Belarus,2021,20.8939991,9.34031E+13,0,12836.47527,12836.47527,9.460283896231059.46028389623105,"3,970.55",10.12,"5,301.81",38.77,0,587.3
Belgium,2017,0,0,0,0,0,0,"5,262.61",0,"16,672.73",86.98,0,113.13
Belgium,2018,12.54964357,1.14271E+15,0,84764.63655,201320.6,1.710185632413811.71018563241381,"-1,650.68",0,"17,486.66",84.96,210.2227398,115.45
Belgium,2019,5.716015013,11488980,0,43098.48472,102766.9,1.982552028,"3,344.46",0,"17,835.33",82.92,107.2024975,117.11
Belgium,2020,5.301955032,11538604,0,40612.39246,101700.6,1.413494376,"8,875.92",0,"19,470.40",94.19,108.7089022,117.98
Belgium,2021,6.851942042,11592952,0,42901.43206,101515.6,0.252942323,"6,605.27",0,"28,565.62",90.71,108.9863978,120.86
Belize,2017,0,0,0,0,0,0,-56.98,9.46,312.14,78.21,0,105.68
Belize,2018,36.11000061,2.3452.345,0,12118.32511,4630000000,0.2699826226464320.269982622646432,-83.79,9.12,294.47,79.52,0,105.96
Belize,2019,20.42399979,2.106,0,6210.565543,2416500000,0.187069385,-100.72,9.07,277.58,79.01,0,106.16
Belize,2020,24,1.999,0,5266.87616,2080000000,0.121434645,-187.2,8.73,348.09,104.49,0,106.29
Belize,2021,22.73800087,0,0,6228.267309,2491500000,3.235636592,-208.07,8.44,420.1,82.21,0,109.73
Benin,2017,0,0,0,0,0,0,-703.52,6.93,0,39.6,0,110.79
Benin,2018,7.734000206,5.1995.199,0,2388.876429,2.789174,0.6448036224407780.644803622440778,-821.05,6.76,0,41.08,179.6726256,111.51
Benin,2019,3.890000105,5.13,0,1170.965533,1.507767,-0.705026635,-721.67,6.69,0,41.23,87.09089335,110.72
Benin,2020,4.46999979,5.048,0,1237.949295,1.317066,3.022721197,-435.72,6.54,0,46.14,90.34306324,114.07
Benin,2021,4.324999809,0,0,1319.154995,0,1.733539627,-771.73,6.25,0,49.94,89.59242156,116.04
Bermuda,2017,0,0,0,0,0,0,-649.15,0,0,0,0,0
Bermuda,2018,0,6391863918,0,226101.4738,14451954000,0,-611.55,0,0,0,0,0
Bermuda,2019,0,63911,0,116153.1661,7423465000,0,-618.77,0,0,0,0,0
Bermuda,2020,0,63893,0,107791.8864,6887147000,0,-696.02,0,0,0,0,0
Bermuda,2021,0,63867,0,114090.3283,7286607000,0,-801.88,0,0,0,0,0
Bhutan,2017,0,0,0,0,0,0,-518.57,14.25,"1,206.24",111.72,0,158.43
Bhutan,2018,29.36199951,..,0,6421.412538,-36.81422004,2.723963861837162.72396386183716,-462.86,14,987.25,113.37,0,162.75
Bhutan,2019,11.06000042,.,0,3303.964211,-20.48653849,2.725821043,-452.2,14,"1,228.30",106.49,0,167.18
Bhutan,2020,21.2159996,.,0,3009.924171,-15.79666406,5.62999178,-401.8,14,"1,423.13",130.89,0,176.59
Bhutan,2021,15.46899986,70.94999695,0,3266.364905,-12.0963589,7.346838598,-284.91,14,932.58,132.42,0,189.57
Bolivia,2017,0,0,0,0,0,0,"-2,173.22",8.11,"8,473.88",32.87,0,142.4
Bolivia,2018,0,0,0,0,0,0,"-1,992.41",8.04,"7,177.83",35.32,0,145.64
