,,,,,,,,
,Exchange Rates selected indicators,,,,,,,
,"National Currency per U.S. Dollar, end of period",,,,,,,
,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,
,,,,,,,,
,Montserrat,Units,,2.70,2.70,2.70,2.70,2.70
,Morocco,Units,,9.33,9.57,9.59,8.90,9.28
,"Mozambique, Rep. of",Units,,59.02,61.47,61.47,74.90,63.83
,Myanmar,Units,,"1,362.00","1,550.00","1,465.50","1,329.10",...
,Namibia,Units,,12.39,14.43,14.12,14.62,15.91
,"Nauru, Rep. of",Units,,1.28,1.42,1.43,1.30,1.38
,Nepal,Units,,102.95,115.04,113.30,117.83,121.39
,New Caledonia,Units,,99.50,104.22,106.22,97.25,105.36
,New Zealand,Units,,1.41,1.49,1.48,1.38,1.46
,Nicaragua,Units,,30.79,32.33,33.84,34.82,35.52
,Niger,Units,,546.95,572.89,583.90,534.56,579.16
,Nigeria,Units,,306.00,307.00,307.00,381.00,...
,"North Macedonia, Republic of",Units,,51.27,53.69,54.95,50.24,54.37
,Norway,Units,,8.21,8.69,8.78,8.53,8.82
,Oman,Units,,0.38,0.38,0.38,0.38,0.38
,Pakistan,Units,,110.43,138.79,154.87,159.59,176.52
,"Palau, Rep. of",Units,,1.00,1.00,1.00,1.00,1.00
,Panama,Units,,1.00,1.00,1.00,1.00,1.00
,Papua New Guinea,Units,,3.23,3.37,3.41,3.51,3.51
,Paraguay,Units,,"5,590.48","5,960.54","6,453.14","6,916.81","6,879.11"
,Peru,Units,,3.24,3.37,3.31,3.62,3.99
,Philippines,Units,,49.92,52.72,50.74,48.04,50.77
,"Poland, Rep. of",Units,,3.48,3.76,3.80,3.76,4.06
,Qatar,Units,,3.64,3.64,3.64,3.64,3.64
,Romania,Units,,3.89,4.07,4.26,3.97,4.37
,Russian Federation,Units,,57.60,69.47,61.91,73.88,74.29
,Rwanda,Units,,843.27,879.10,922.52,972.48,"1,009.62"
,Samoa,Units,,2.51,2.62,2.63,2.53,2.60
,"San Marino, Rep. of",Units,,0.83,0.87,0.89,0.81,0.88
,"São Tomé and Príncipe, Dem. Rep. of",Units,,20.53,21.39,21.90,19.95,21.68
,Saudi Arabia,Units,,3.75,3.75,3.75,3.75,3.75
,Senegal,Units,,546.95,572.89,583.90,534.56,579.16
,"Serbia, Rep. of",Units,,99.12,103.39,104.92,95.66,103.93
,Seychelles,Units,,13.84,14.02,14.09,21.62,14.70
,Sierra Leone,Units,,7.54,8.40,9.72,10.13,11.22
,Singapore,Units,,1.34,1.36,1.35,1.32,1.35
,"Sint Maarten, Kingdom of the Netherlands",Units,,1.79,1.79,1.79,1.79,1.79
,Solomon Islands,Units,,7.86,8.13,8.20,8.05,8.10
,Somalia,Units,,"23,605.00",...,...,...,...
,South Africa,Units,,12.32,14.38,14.03,14.69,15.91
,"South Sudan, Rep. of",Units,,127.94,154.03,161.09,177.28,432.03
,Sri Lanka,Units,,152.85,182.28,181.63,186.41,200.43
,St. Kitts and Nevis,Units,,2.70,2.70,2.70,2.70,2.70
,St. Lucia,Units,,2.70,2.70,2.70,2.70,2.70
,St. Vincent and the Grenadines,Units,,2.70,2.70,2.70,2.70,2.70
,Sudan,Units,,6.68,47.50,45.00,55.00,436.28
,Suriname,Units,,7.46,7.46,7.46,14.15,21.09
,Sweden,Units,,8.21,8.96,9.30,8.18,9.04
,Switzerland,Units,,0.98,0.99,0.97,0.88,0.91
,Syrian Arab Rep.,Units,,436.50,...,...,...,...
,Taiwan Province of China,Units,,29.85,30.73,30.11,28.51,27.69
,"Tajikistan, Rep. of",Units,,8.82,9.43,9.69,11.30,11.30
,"Tanzania, United Rep. of",Units,,"2,230.07","2,281.23","2,287.93","2,298.46","2,297.61"
,Thailand,Units,,32.68,32.45,30.15,30.04,33.42
,"Timor-Leste, Dem. Rep. of",Units,,1.00,1.00,1.00,1.00,1.00
,Togo,Units,,546.95,572.89,583.90,534.56,579.16
,Tonga,Units,,2.20,2.27,2.28,2.27,2.27
,Trinidad and Tobago,Units,,6.76,6.78,6.77,6.73,6.77
,Tunisia,Units,,2.48,2.99,2.80,2.70,2.89
,"Türkiye, Rep of",Units,,3.78,5.27,5.95,7.35,12.99
,Uganda,Units,,"3,635.08","3,713.35","3,665.21","3,650.07","3,544.41"
,Ukraine,Units,,28.07,27.69,23.69,28.27,27.28
,United Arab Emirates,Units,,3.67,3.67,3.67,3.67,3.67
,United Kingdom,Units,,0.74,0.79,0.76,0.75,0.74
,United States,Units,,1.00,1.00,1.00,1.00,1.00
,Uruguay,Units,,28.76,32.39,37.34,42.34,44.70
,"Uzbekistan, Rep. of",Units,,"8,120.07","8,339.55","9,507.56","10,476.92","10,837.66"
,Vanuatu,Units,,107.50,112.63,114.30,107.70,112.20
,"Venezuela, Rep. Bolivariana de",Units,,9.98,...,...,...,...
,Vietnam,Units,,"22,425.00","22,825.00","23,155.00","23,131.00","23,145.00"
,"Yemen, Rep. of",Units,,214.89,214.89,612.00,669.00,952.00
,Zambia,Units,,9.92,11.92,14.11,21.17,16.67
,Zimbabwe,Units,,...,...,16.77,81.79,108.67
,Central African Economic and Monetary Community,Units,,546.95,572.89,583.90,534.56,579.16
,Eastern Caribbean Currency Union (ECCU),Units,,2.70,2.70,2.70,2.70,2.70
,West African Economic and Monetary Union (WAEMU),Units,,546.95,572.89,583.90,534.56,579.16
