country,date,Fiscal Balance,GDP per capita,GDP,Unemployment Rate,Inflation,Population,CPI
Cameroon,2019-01-01,,1454.56406402385,3.3020311698994,6.49499988555908,2.45280214062733,.,
Cameroon,2020-01-01,,1419.32820350189,0.474067068129494,7.26100015640259,2.43760882182242,78.2300033569336,
Cameroon,2021-01-01,,1432.8626845743,3.82743043169037,7.12799978256226,2.27185762503631,,
Congo,2018-01-01,,489.382354011428,,8.4680004119873,1.15277896375521,6.302,
Congo,2019-01-01,,494.819226947003,,8.49400043487549,2.20607305781519,6.253,
Congo,2020-01-01,,487.43311264638,,9.87100028991699,1.79537147083111,6.206,
Congo,2021-01-01,,501.239067350859,,9.42399978637695,1.71564275451263,,
Colombia,2018-01-01,,6320.76208436838,211310205400000.0,9.63752689594132,3.24056932930567,1.787,0.626575441123523
Colombia,2019-01-01,,6403.87709573135,217911760100000.0,10.4237188103964,3.52301932741443,1.765,0.598543786450212
Colombia,2020-01-01,,5865.65409477439,218217393000000.0,10.7071702845114,2.52663500084712,1.737,0.422147018246115
Colombia,2021-01-01,,6418.09775120445,223432682100000.0,14.8603699619255,3.49505757399453,,0.409059549862846
Cabo Verde,2018-01-01,,,28.1754250815554,27.1040000915527,1.25699566690509,571202,96.7430947417717
Cabo Verde,2019-01-01,,,28.500290283735,27.6490001678467,1.1066667429606,577030,96.2425900138086
Cabo Verde,2020-01-01,,,33.7787464608005,32.923999786377,0.60579580839551,582640,96.8042401521308
Cabo Verde,2021-01-01,,,29.9278422271382,30.6149997711182,1.86215297494637,587925,95.8507511572928
Costa Rica,2018-01-01,,12383.1499737386,12383.1499737386,25.1259994506836,2.22111461526584,1.709,103.34356966532
Costa Rica,2019-01-01,,12669.341068679,12669.341068679,31.2819995880127,2.09604635327805,1.632,105.065639806603
Costa Rica,2020-01-01,,12132.8768848243,12132.8768848243,40.1599998474121,0.724911478131358,1.555,106.728550761271
Costa Rica,2021-01-01,,12472.4437294954,12472.4437294954,39.2700004577637,1.72647755109235,,107.752542500497
Curaçao,2018-01-01,,,,,2.58368756641871,159336.0,2.58368756641871
Curaçao,2019-01-01,,,,,2.62220783425056,157441.0,2.62220783425056
Cyprus,2018-01-01,,29418.935546875,5306.1,20.1140003204346,1.43549119531762,1218831,1.43549119531762
Cyprus,2019-01-01,,29417.138671875,5665.4,16.4969997406006,0.250370996758456,1228836,0.250370996758456
Cyprus,2020-01-01,,28036.189453125,5838.7,18.1089992523193,-0.638422797978907,1237537,-0.638422797978907
Cyprus,2021-01-01,,31551.81640625,5787.5,17.0890007019043,2.44608867175472,1244188,2.44608867175472
Germany,2018-01-01,1.950,42928.7412368012,737457.48933824,5.4,1.34229014197559,82905782.0,102.017002833806
Germany,2019-01-01,1.531,43284.6024553493,748000.11716905,5.0,1.38292654829813,83092962.0,103.417236206034
Germany,2020-01-01,-4.333,41650.4227126493,738869.50567698,5.0,1.75562021562636,83160871.0,105.217536256043
Germany,2021-01-01,-3.727,42726.485322007,722802.75940298,6.0,1.19602004008016,83196078,106.482676972548
Djibouti,2018-01-01,-2.87734151,2755.83829341814,71.54886114,73.8929977416992,0.14797085,1057198,0.147970849877116
Djibouti,2019-01-01,-0.9175666,2876.04366371536,72.1179067,73.9100036621094,3.31322024,1073994,3.31925372703833
Djibouti,2020-01-01,-1.73136188,2917.9962809563,75.515933,78.7779998779297,1.78551848,1090156,1.77740783806174
Djibouti,2021-01-01,-3.3893003,3150.43672926335,78.89530431,77.0339965820313,1.17976375,1105557,
Dominica,2018-01-01,,7586.64614100055,8.92415,,0.989191119189815,70823,
Dominica,2019-01-01,,7936.3048182003,8.558658,,1.50462353858147,71428,
